Request_ID,Created_At,Category,Status,Neighborhood_ID,Neighborhood_Name,Ward_Number,Latitude,Longitude,Sentiment_Score,Delay_Minutes,Transit_Route_ID,Complaint_Text,Source,Sentiment_Label,Delay_Severity,NeedScore,Month,Quarter,Day_of_Week,Resolution_Time_Hours
1,30-10-2025 22:00,Water Leak,Resolved,10,Indiranagar,50,12.8848917,77.65711929,-0.36,9,138,Broken footpath,Twitter,negative,On-Time,40.91,10,Q4,Thursday,0.15
2,05-02-2025 20:00,Water Leak,Open,19,Yelahanka,75,12.98954021,77.72391543,0.89,20,155,Pothole near school,Mobile App,positive,Heavy Delay,87.88,2,Q1,Wednesday,0.333333333
3,13-08-2025 14:00,Graffiti,Resolved,6,HSR Layout,11,13.04258531,77.52906717,0.76,15,148,Illegal parking,Email,positive,Slight Delay,73.19,8,Q3,Wednesday,0.25
4,05-08-2025 07:00,Noise,Resolved,1,Whitefield,140,13.02960405,77.48579344,-0.53,7,157,Illegal parking,Email,negative,On-Time,48.35,8,Q3,Tuesday,0.116666667
5,27-08-2025 22:00,Pothole,In Progress,8,Jayanagar,168,13.03542975,77.59101535,0.93,-3,175,Graffiti on wall,Mobile App,positive,Early,58.56,8,Q3,Wednesday,-0.05
6,19-09-2025 01:00,Graffiti,Open,8,Jayanagar,48,12.91979346,77.55832424,0.71,6,122,Water leakage on road,Twitter,positive,On-Time,57.77,9,Q3,Friday,0.1
7,20-01-2025 10:00,Pothole,Open,6,Marathahalli,121,12.86843438,77.74245834,0.97,6,106,Illegal parking,Twitter,positive,On-Time,73.37,1,Q1,Monday,0.1
8,04-07-2025 10:00,Streetlight,In Progress,17,Marathahalli,56,12.88724091,77.45225126,0.36,4,144,Illegal parking,Mobile App,positive,On-Time,34.01,7,Q3,Friday,0.066666667
9,21-08-2025 10:00,Garbage,Open,19,BTM Layout,8,13.08887662,77.73001492,0.86,-5,188,Streetlight not working,Twitter,positive,Early,51.6,8,Q3,Thursday,-0.083333333
10,13-12-2025 18:00,Noise,Resolved,1,Koramangala,14,13.0033785,77.73652377,0.38,18,154,Graffiti on wall,Call Center,positive,Slight Delay,54.52,12,Q4,Saturday,0.3
11,12-03-2025 05:00,Graffiti,Resolved,15,Indiranagar,114,13.0319749,77.46528751,0.71,0,154,Water leakage on road,Mobile App,positive,On-Time,49.5,3,Q1,Wednesday,0.0
12,02-02-2025 01:00,Garbage,In Progress,13,HSR Layout,184,13.07476615,77.71687096,0.22,13,176,Pothole near school,Call Center,positive,Slight Delay,38.03,2,Q1,Sunday,0.216666667
13,17-10-2025 13:00,Noise,Open,3,Yelahanka,54,13.06318864,77.59123365,0.86,18,137,Graffiti on wall,Call Center,positive,Slight Delay,83.32,10,Q4,Friday,0.3
