Neighborhood_ID,Neighborhood_Name,Ward_Number,Latitude,Longitude
10,Indiranagar,50,12.8848917,77.65711929
19,Yelahanka,75,12.98954021,77.72391543
6,HSR Layout,11,13.04258531,77.52906717
1,Whitefield,140,13.02960405,77.48579344
8,Jayanagar,168,13.03542975,77.59101535
8,Jayanagar,48,12.91979346,77.55832424
6,Marathahalli,121,12.86843438,77.74245834
17,Marathahalli,56,12.88724091,77.45225126
19,BTM Layout,8,13.08887662,77.73001492
1,Koramangala,14,13.0033785,77.73652377
15,Indiranagar,114,13.0319749,77.46528751
13,HSR Layout,184,13.07476615,77.71687096
3,Yelahanka,54,13.06318864,77.59123365
2,Indiranagar,17,12.90460046,77.67984522
3,Indiranagar,173,12.86451501,77.47377666
9,Malleshwaram,133,13.08128205,77.73656168
16,Malleshwaram,131,13.09541707,77.63226454
13,Whitefield,9,12.99183605,77.71960829
19,Koramangala,122,13.07210048,77.65188893
18,Whitefield,114,12.90795401,77.61104309
12,HSR Layout,20,12.87775968,77.50174871
12,Yelahanka,83,12.97495423,77.50338624
1,Yelahanka,21,13.05279585,77.59177109
20,Indiranagar,33,13.01366341,77.71113266
8,Marathahalli,133,13.00933004,77.4845656
17,Yelahanka,152,12.85436473,77.74951554
20,Marathahalli,191,12.92937322,77.71277368
7,Marathahalli,26,13.08487395,77.56776763
9,HSR Layout,108,12.88356838,77.5259355
17,Koramangala,89,13.03159149,77.72659883
10,Indiranagar,92,13.03982779,77.48696349
4,Yelahanka,33,13.03320831,77.55418698
7,Basavanagudi,18,13.09732122,77.4751737
7,Koramangala,18,12.95230205,77.73603868
8,Malleshwaram,166,13.02054835,77.63528688
8,Basavanagudi,33,12.89841378,77.55085389
16,HSR Layout,27,12.94992748,77.53264495
12,Koramangala,49,12.97289015,77.58322829
15,HSR Layout,178,12.90370689,77.47741354
8,Koramangala,143,13.07670269,77.71680468
9,Marathahalli,108,13.02904946,77.60328211
3,Indiranagar,180,12.92093944,77.66752944
16,Yelahanka,68,12.88373911,77.52012375
15,BTM Layout,99,12.92196683,77.60112478
4,Jayanagar,19,13.00574635,77.51332584
20,Indiranagar,25,13.05660216,77.69482838
16,Marathahalli,104,12.97579206,77.6825825
10,Marathahalli,76,12.87562367,77.4944607
11,BTM Layout,76,12.91232872,77.47235207
5,Marathahalli,106,12.93628598,77.69725902
11,Basavanagudi,153,13.00903406,77.48289437
13,Marathahalli,33,12.91166084,77.61454519
15,Malleshwaram,188,12.9084821,77.61034619
6,Yelahanka,37,12.92155047,77.51088322
16,Indiranagar,92,12.99813226,77.62740694
15,Jayanagar,124,12.97315757,77.60082656
11,Basavanagudi,43,13.06040899,77.60275677
20,Basavanagudi,126,13.02448308,77.55790999
2,Jayanagar,9,13.01670547,77.70152857
2,Marathahalli,14,12.88866252,77.47531117
12,Koramangala,131,12.86380695,77.58158691
16,Basavanagudi,69,12.97749972,77.52794491
19,Basavanagudi,184,12.86791042,77.70452998
2,Indiranagar,26,12.94100448,77.51752415
17,BTM Layout,127,12.85652809,77.68010745
14,Malleshwaram,53,12.89420224,77.6334546
16,Jayanagar,41,12.87759197,77.71243708
5,Marathahalli,82,13.05024625,77.62813818
10,HSR Layout,102,12.93653154,77.61694531
17,HSR Layout,21,12.86971163,77.69033898
13,Koramangala,121,12.91637005,77.61874594
16,Basavanagudi,39,13.02070202,77.70336262
9,Basavanagudi,151,13.03640882,77.46479541
4,BTM Layout,186,12.87996628,77.59854496
16,Basavanagudi,69,13.04464161,77.69380745
11,HSR Layout,75,12.94263979,77.70450954
7,Jayanagar,157,13.01984567,77.70021661
17,Koramangala,62,13.01787695,77.6313144
13,BTM Layout,181,13.04839818,77.7481914
4,Malleshwaram,45,13.0242957,77.50441589
14,HSR Layout,27,12.85971709,77.50233727
10,Whitefield,116,12.97987028,77.4598468
10,Indiranagar,162,12.89154529,77.74680115
10,BTM Layout,142,13.09249113,77.55440615
12,BTM Layout,41,12.91395863,77.67861625
2,HSR Layout,106,12.95502684,77.46791309
9,Koramangala,74,12.89917554,77.53960643
5,Indiranagar,60,12.88364728,77.6371542
8,Jayanagar,42,13.0002324,77.60743403
14,Jayanagar,122,12.97329491,77.51232447
7,Basavanagudi,179,12.94366493,77.58847787
7,Whitefield,11,12.87135476,77.4826346
