Request_ID,Created_At,Category,Status,Complaint_Text,Source,Resolution_Time_Hours
1,30-10-2025 22:00,Water Leak,Resolved,Broken footpath,Twitter,0.15
2,05-02-2025 20:00,Water Leak,Open,Pothole near school,Mobile App,0.333333333
3,13-08-2025 14:00,Graffiti,Resolved,Illegal parking,Email,0.25
4,05-08-2025 07:00,Noise,Resolved,Illegal parking,Email,0.116666667
5,27-08-2025 22:00,Pothole,In Progress,Graffiti on wall,Mobile App,-0.05
6,19-09-2025 01:00,Graffiti,Open,Water leakage on road,Twitter,0.1
7,20-01-2025 10:00,Pothole,Open,Illegal parking,Twitter,0.1
8,04-07-2025 10:00,Streetlight,In Progress,Illegal parking,Mobile App,0.066666667
9,21-08-2025 10:00,Garbage,Open,Streetlight not working,Twitter,-0.083333333
10,13-12-2025 18:00,Noise,Resolved,Graffiti on wall,Call Center,0.3
11,12-03-2025 05:00,Graffiti,Resolved,Water leakage on road,Mobile App,0.0
12,02-02-2025 01:00,Garbage,In Progress,Pothole near school,Call Center,0.216666667
13,17-10-2025 13:00,Noise,Open,Graffiti on wall,Call Center,0.3
14,12-04-2025 09:00,Noise,Open,Broken footpath,Call Center,0.116666667
15,10-08-2025 07:00,Noise,Open,Illegal parking,Email,0.35
16,30-07-2025 11:00,Garbage,In Progress,Illegal parking,Call Center,-0.083333333
17,25-09-2025 12:00,Graffiti,Resolved,Streetlight not working,Twitter,0.216666667
18,19-02-2025 08:00,Water Leak,In Progress,Broken footpath,Mobile App,0.316666667
19,09-07-2025 19:00,Garbage,Resolved,Broken footpath,Twitter,0.0
20,22-05-2025 01:00,Noise,In Progress,Noise from bar at night,Call Center,-0.083333333
21,24-09-2025 12:00,Graffiti,Resolved,Water leakage on road,Call Center,0.316666667
22,28-12-2025 02:00,Streetlight,Open,Illegal parking,Call Center,0.283333333
23,17-04-2025 14:00,Pothole,Open,Water leakage on road,Call Center,0.183333333
24,24-11-2025 01:00,Noise,Open,Water leakage on road,Mobile App,0.183333333
25,27-03-2025 07:00,Streetlight,In Progress,Pothole near school,Mobile App,0.25
26,25-04-2025 11:00,Water Leak,In Progress,Pothole near school,Email,0.083333333
27,08-01-2025 21:00,Noise,In Progress,Pothole near school,Mobile App,0.233333333
28,24-04-2025 22:00,Streetlight,Open,Overflowing garbage,Call Center,0.1
29,06-05-2025 05:00,Noise,Resolved,Noise from bar at night,Email,0.3
30,14-07-2025 02:00,Garbage,Open,Illegal parking,Call Center,0.116666667
31,21-03-2025 03:00,Graffiti,Open,Streetlight not working,Email,0.2
32,19-11-2025 06:00,Streetlight,Resolved,Water leakage on road,Mobile App,0.266666667
33,22-02-2025 19:00,Graffiti,Resolved,Streetlight not working,Mobile App,0.3
34,05-03-2025 16:00,Garbage,Resolved,Broken footpath,Mobile App,-0.083333333
35,29-05-2025 04:00,Garbage,Resolved,Water leakage on road,Email,-0.05
36,12-06-2025 02:00,Graffiti,Open,Garbage not collected,Twitter,0.183333333
37,13-08-2025 17:00,Streetlight,In Progress,Pothole near school,Call Center,0.016666667
38,18-12-2025 09:00,Graffiti,Open,Overflowing garbage,Mobile App,0.183333333
39,10-11-2025 01:00,Graffiti,Resolved,Pothole near school,Mobile App,0.166666667
40,19-04-2025 20:00,Pothole,In Progress,Noise from bar at night,Call Center,0.1
41,21-10-2025 09:00,Streetlight,In Progress,Streetlight not working,Twitter,0.316666667
42,17-09-2025 19:00,Pothole,Open,Broken footpath,Call Center,0.033333333
43,17-08-2025 14:00,Noise,Open,Water leakage on road,Mobile App,0.083333333
44,23-10-2025 19:00,Graffiti,Open,Garbage not collected,Mobile App,-0.05
45,02-02-2025 07:00,Noise,In Progress,Water leakage on road,Twitter,0.366666667
46,09-12-2025 18:00,Streetlight,In Progress,Broken footpath,Email,0.383333333
47,12-05-2025 08:00,Graffiti,In Progress,Illegal parking,Twitter,0.1
48,08-03-2025 01:00,Noise,Resolved,Garbage not collected,Call Center,-0.033333333
