Request_ID,Sentiment_Score,Sentiment_Label
1,-0.36,negative
2,0.89,positive
3,0.76,positive
4,-0.53,negative
5,0.93,positive
6,0.71,positive
7,0.97,positive
8,0.36,positive
9,0.86,positive
10,0.38,positive
11,0.71,positive
12,0.22,positive
13,0.86,positive
14,0.04,neutral
15,0.47,positive
16,0.83,positive
17,-0.16,neutral
18,-0.95,negative
19,-0.77,negative
20,0.94,positive
21,0.75,positive
22,-0.03,neutral
23,0.92,positive
24,-0.63,negative
25,-0.78,negative
26,0.2,neutral
27,-0.24,negative
28,-0.32,negative
29,0.47,positive
30,-0.7,negative
31,0.56,positive
32,-0.28,negative
33,0.97,positive
34,0.62,positive
35,0.29,positive
36,-0.54,negative
37,0.91,positive
38,-0.93,negative
39,-0.55,negative
40,-0.93,negative
41,0.93,positive
42,0.74,positive
43,0.9,positive
44,0.43,positive
45,-0.95,negative
46,0.86,positive
47,-0.16,neutral
48,-0.26,negative
49,-0.43,negative
50,-0.43,negative
51,0.6,positive
52,-0.49,negative
53,-0.56,negative
54,0.4,positive
55,-0.43,negative
56,-0.97,negative
57,0.86,positive
58,-0.37,negative
59,0.53,positive
60,-0.06,neutral
61,-0.73,negative
62,0.32,positive
63,-0.54,negative
64,-0.42,negative
65,-0.94,negative
66,-0.97,negative
67,0.03,neutral
68,-0.88,negative
69,-0.58,negative
70,0.85,positive
71,-0.83,negative
72,-0.42,negative
73,0.45,positive
74,0.77,positive
75,-0.91,negative
76,-0.63,negative
77,-0.22,negative
78,-0.28,negative
79,-0.42,negative
80,-0.52,negative
81,-0.46,negative
82,-0.73,negative
83,-0.67,negative
84,0.21,positive
85,-0.42,negative
86,-0.2,negative
87,-0.18,neutral
88,-0.78,negative
89,0.64,positive
90,0.91,positive
91,-0.47,negative
92,-0.41,negative
93,0.39,positive
94,-0.84,negative
95,0.81,positive
96,-0.76,negative
97,0.46,positive
98,-0.42,negative
99,-0.35,negative
100,-0.72,negative
101,0.29,positive
102,0.59,positive
103,0.9,positive
104,-0.34,negative
105,0.24,positive
106,-0.17,neutral
107,0.12,neutral
108,-0.67,negative
109,0.16,neutral
110,0.7,positive
111,0.73,positive
112,-0.03,neutral
113,-0.53,negative
114,0.67,positive
115,1.0,positive
116,-0.25,negative
117,0.85,positive
118,0.97,positive
119,-0.21,negative
120,0.43,positive
121,0.16,neutral
122,0.44,positive
123,-0.69,negative
124,-0.27,negative
125,-0.87,negative
126,0.23,positive
127,0.85,positive
128,0.12,neutral
129,-0.86,negative
130,0.86,positive
131,-0.73,negative
132,0.77,positive
133,0.43,positive
134,0.27,positive
135,0.17,neutral
136,-0.74,negative
137,0.0,neutral
138,-0.61,negative
139,0.14,neutral
140,-0.11,neutral
141,0.36,positive
142,0.96,positive
143,-0.28,negative
144,0.23,positive
145,0.73,positive
146,-0.81,negative
147,0.6,positive
148,-0.52,negative
149,0.08,neutral
150,0.98,positive
151,0.97,positive
152,-0.37,negative
153,-0.74,negative
154,0.88,positive
155,0.79,positive
156,0.23,positive
157,-0.94,negative
158,0.5,positive
159,-0.68,negative
160,0.89,positive
161,-0.13,neutral
162,0.23,positive
163,-0.44,negative
164,-0.05,neutral
165,0.51,positive
166,-0.02,neutral
167,0.69,positive
