Request_ID,Delay_Severity,NeedScore
1,On-Time,40.91
2,Heavy Delay,87.88
3,Slight Delay,73.19
4,On-Time,48.35
5,Early,58.56
6,On-Time,57.77
7,On-Time,73.37
8,On-Time,34.01
9,Early,51.6
10,Slight Delay,54.52
11,On-Time,49.5
12,Slight Delay,38.03
13,Slight Delay,83.32
14,On-Time,18.95
15,Heavy Delay,64.06
16,Early,49.8
17,Slight Delay,34.43
18,Slight Delay,90.1
19,On-Time,53.1
20,Early,56.4
21,Slight Delay,78.1
22,Slight Delay,32.14
23,Slight Delay,77.27
24,Slight Delay,59.87
25,Slight Delay,74.39
26,On-Time,25.79
27,Slight Delay,40.61
28,On-Time,34.37
29,Slight Delay,59.92
30,On-Time,58.55
31,Slight Delay,57.05
32,Slight Delay,45.77
33,Slight Delay,89.92
34,Early,37.2
35,Early,20.16
36,Slight Delay,54.47
37,On-Time,62.88
38,Slight Delay,77.87
39,Slight Delay,53.69
40,On-Time,70.97
41,Slight Delay,88.9
42,On-Time,54.06
43,On-Time,67.79
44,Early,28.56
45,Heavy Delay,94.24
46,Heavy Delay,90.22
47,On-Time,24.77
48,Early,19.74
49,On-Time,36.83
50,Heavy Delay,60.28
51,Slight Delay,64.97
52,Slight Delay,56.99
53,Heavy Delay,72.22
54,Slight Delay,51.59
55,Slight Delay,47.87
56,Slight Delay,78.89
57,On-Time,66.77
58,Heavy Delay,62.2
59,On-Time,51.11
60,On-Time,22.91
61,Early,43.8
62,Early,21.96
63,Early,33.78
64,Heavy Delay,59.68
65,Heavy Delay,96.4
66,Slight Delay,80.27
67,On-Time,16.97
68,Early,58.32
69,Heavy Delay,74.8
70,Heavy Delay,91.0
71,On-Time,63.59
72,Slight Delay,50.03
73,On-Time,46.31
74,Heavy Delay,86.2
75,On-Time,62.88
76,On-Time,47.46
77,On-Time,25.61
78,On-Time,23.7
79,Heavy Delay,62.44
80,Slight Delay,58.79
81,On-Time,46.91
82,On-Time,56.21
83,Heavy Delay,77.44
84,Slight Delay,40.19
85,Slight Delay,47.27
86,Heavy Delay,49.24
87,Slight Delay,39.77
88,On-Time,53.7
89,Slight Delay,63.23
90,Slight Delay,80.81
91,Slight Delay,54.41
92,On-Time,31.5
93,On-Time,41.33
94,Slight Delay,82.12
95,Heavy Delay,85.84
96,On-Time,62.15
97,On-Time,44.15
98,On-Time,36.23
99,On-Time,32.03
100,Slight Delay,70.79
101,Slight Delay,49.12
102,Heavy Delay,74.02
103,On-Time,63.66
104,On-Time,32.81
105,Slight Delay,40.61
106,Early,14.34
107,Early,9.96
108,On-Time,56.75
109,Slight Delay,37.19
110,On-Time,51.66
111,Slight Delay,75.52
112,On-Time,12.83
113,On-Time,49.73
114,Early,40.2
115,On-Time,77.93
116,On-Time,30.17
117,Early,55.14
118,Slight Delay,87.17
119,Slight Delay,40.19
120,Early,29.94
121,On-Time,26.15
122,Slight Delay,47.09
123,On-Time,55.19
124,Early,18.96
125,Early,53.58
126,Slight Delay,46.9
127,Heavy Delay,85.48
128,Early,9.96
129,Slight Delay,77.81
130,Slight Delay,73.67
131,Early,43.8
132,Heavy Delay,80.68
133,Slight Delay,58.9
134,On-Time,29.99
135,Slight Delay,30.89
136,Slight Delay,70.61
137,On-Time,12.41
138,Slight Delay,62.81
139,On-Time,15.3
140,Early,7.98
141,Slight Delay,50.57
142,Heavy Delay,96.22
143,On-Time,25.08
144,Slight Delay,35.87
145,On-Time,53.46
146,On-Time,65.15
147,Slight Delay,64.97
148,Slight Delay,64.3
149,Heavy Delay,43.42
150,Early,62.94
151,On-Time,71.99
152,Early,23.58
153,Slight Delay,77.5
154,On-Time,62.46
155,Slight Delay,70.85
156,On-Time,23.46
157,On-Time,70.19
158,Slight Delay,61.72
159,Early,46.32
160,On-Time,61.68
161,Slight Delay,38.14
162,Early,17.94
163,Slight Delay,55.37
164,On-Time,15.41
165,On-Time,37.5
166,On-Time,17.75
167,Slight Delay,62.09
168,Slight Delay,54.77
169,Slight Delay,84.1
170,Early,13.98
171,Heavy Delay,48.28
172,Slight Delay,46.12
173,On-Time,40.31
174,On-Time,61.86
175,Slight Delay,28.67
176,Heavy Delay,55.66
177,Heavy Delay,92.62
178,On-Time,38.93
179,Heavy Delay,44.8
180,Slight Delay,54.05
