Request_ID,Month,Quarter,Day_of_Week
1,10,Q4,Thursday
2,2,Q1,Wednesday
3,8,Q3,Wednesday
4,8,Q3,Tuesday
5,8,Q3,Wednesday
6,9,Q3,Friday
7,1,Q1,Monday
8,7,Q3,Friday
9,8,Q3,Thursday
10,12,Q4,Saturday
11,3,Q1,Wednesday
12,2,Q1,Sunday
13,10,Q4,Friday
14,4,Q2,Saturday
15,8,Q3,Sunday
16,7,Q3,Wednesday
17,9,Q3,Thursday
18,2,Q1,Wednesday
19,7,Q3,Wednesday
20,5,Q2,Thursday
21,9,Q3,Wednesday
22,12,Q4,Sunday
23,4,Q2,Thursday
24,11,Q4,Monday
25,3,Q1,Thursday
26,4,Q2,Friday
27,1,Q1,Wednesday
28,4,Q2,Thursday
29,5,Q2,Tuesday
30,7,Q3,Monday
31,3,Q1,Friday
32,11,Q4,Wednesday
33,2,Q1,Saturday
34,3,Q1,Wednesday
35,5,Q2,Thursday
36,6,Q2,Thursday
37,8,Q3,Wednesday
38,12,Q4,Thursday
39,11,Q4,Monday
40,4,Q2,Saturday
41,10,Q4,Tuesday
42,9,Q3,Wednesday
43,8,Q3,Sunday
44,10,Q4,Thursday
45,2,Q1,Sunday
46,12,Q4,Tuesday
47,5,Q2,Monday
48,3,Q1,Saturday
49,6,Q2,Saturday
50,11,Q4,Tuesday
51,5,Q2,Friday
52,2,Q1,Wednesday
53,6,Q2,Tuesday
54,11,Q4,Saturday
55,10,Q4,Tuesday
56,8,Q3,Monday
57,1,Q1,Tuesday
58,6,Q2,Sunday
59,2,Q1,Tuesday
60,11,Q4,Friday
61,2,Q1,Wednesday
62,11,Q4,Monday
63,9,Q3,Friday
64,11,Q4,Tuesday
65,10,Q4,Monday
66,11,Q4,Wednesday
67,12,Q4,Monday
68,2,Q1,Thursday
69,7,Q3,Wednesday
70,7,Q3,Tuesday
71,9,Q3,Sunday
72,12,Q4,Wednesday
73,12,Q4,Sunday
74,10,Q4,Tuesday
75,8,Q3,Friday
76,3,Q1,Thursday
77,1,Q1,Friday
78,11,Q4,Sunday
79,4,Q2,Friday
80,8,Q3,Saturday
81,3,Q1,Wednesday
82,4,Q2,Wednesday
83,8,Q3,Friday
84,8,Q3,Saturday
85,10,Q4,Wednesday
86,1,Q1,Friday
87,9,Q3,Wednesday
88,5,Q2,Thursday
89,9,Q3,Monday
90,5,Q2,Saturday
91,9,Q3,Friday
92,12,Q4,Tuesday
93,5,Q2,Saturday
94,10,Q4,Tuesday
95,4,Q2,Sunday
96,4,Q2,Thursday
97,12,Q4,Saturday
98,7,Q3,Wednesday
99,12,Q4,Thursday
100,6,Q2,Tuesday
101,2,Q1,Wednesday
102,11,Q4,Tuesday
103,1,Q1,Tuesday
104,10,Q4,Wednesday
105,10,Q4,Friday
106,7,Q3,Monday
107,1,Q1,Thursday
108,8,Q3,Saturday
109,9,Q3,Sunday
110,11,Q4,Tuesday
111,10,Q4,Tuesday
112,3,Q1,Monday
113,11,Q4,Monday
114,2,Q1,Wednesday
115,4,Q2,Sunday
116,11,Q4,Wednesday
117,8,Q3,Saturday
118,9,Q3,Monday
119,3,Q1,Saturday
120,11,Q4,Wednesday
121,9,Q3,Tuesday
122,10,Q4,Wednesday
123,3,Q1,Tuesday
124,5,Q2,Friday
125,7,Q3,Sunday
126,2,Q1,Friday
127,10,Q4,Sunday
128,5,Q2,Monday
129,9,Q3,Thursday
130,4,Q2,Wednesday
131,6,Q2,Sunday
132,8,Q3,Saturday
133,3,Q1,Tuesday
134,8,Q3,Friday
135,11,Q4,Wednesday
136,2,Q1,Monday
137,10,Q4,Friday
138,9,Q3,Tuesday
